V4_1,Data Marking,calendar-years,Time,mmm,Month,administrative-geography,Geography,property-type,PropertyType,build-status,BuildStatus,house-sales-and-prices,HouseSalesAndPrices
235525.21512,,2020,2020,dec,December,E08000003,Manchester,all,All,all,All,mean,Mean price
163500.0,,2021,2021,dec,December,E08000003,Manchester,all,All,all,All,lower-quartile,Lower quartile price
124000.0,,2017,2017,dec,December,E08000003,Manchester,all,All,all,All,lower-quartile,Lower quartile price
137000.0,,2019,2019,dec,December,E08000003,Manchester,all,All,all,All,lower-quartile,Lower quartile price
127750.0,,2021,2021,dec,December,E08000003,Manchester,all,All,all,All,tenth-percentile,Tenth percentile price
117000.0,,2020,2020,dec,December,E08000003,Manchester,all,All,all,All,tenth-percentile,Tenth percentile price
95000.0,,2018,2018,dec,December,E08000003,Manchester,all,All,all,All,tenth-percentile,Tenth percentile price
88000.0,,2017,2017,dec,December,E08000003,Manchester,all,All,all,All,tenth-percentile,Tenth percentile price
105000.0,,2019,2019,dec,December,E08000003,Manchester,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000003,Manchester,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000003,Manchester,all,All,all,All,lower-quartile,Lower quartile price
,.,2022,2022,dec,December,E08000003,Manchester,all,All,all,All,mean,Mean price
,.,2022,2022,dec,December,E08000003,Manchester,all,All,all,All,median,Median price
,.,2022,2022,dec,December,E08000003,Manchester,all,All,all,All,tenth-percentile,Tenth percentile price
2180.0,,2020,2020,dec,December,E08000002,Bury,all,All,all,All,sales,Count of sales
2728.0,,2019,2019,dec,December,E08000002,Bury,all,All,all,All,sales,Count of sales
2920.0,,2021,2021,dec,December,E08000002,Bury,all,All,all,All,sales,Count of sales
187500.0,,2020,2020,dec,December,E08000002,Bury,all,All,all,All,median,Median price
159950.0,,2017,2017,dec,December,E08000002,Bury,all,All,all,All,median,Median price
175000.0,,2019,2019,dec,December,E08000002,Bury,all,All,all,All,median,Median price
2898.0,,2018,2018,dec,December,E08000002,Bury,all,All,all,All,sales,Count of sales
3005.0,,2017,2017,dec,December,E08000002,Bury,all,All,all,All,sales,Count of sales
167725.0,,2018,2018,dec,December,E08000002,Bury,all,All,all,All,median,Median price
212250.0,,2021,2021,dec,December,E08000002,Bury,all,All,all,All,median,Median price
118000.0,,2017,2017,dec,December,E08000002,Bury,all,All,all,All,lower-quartile,Lower quartile price
182619.49983,,2017,2017,dec,December,E08000002,Bury,all,All,all,All,mean,Mean price
192608.41546,,2018,2018,dec,December,E08000002,Bury,all,All,all,All,mean,Mean price
200675.45674,,2019,2019,dec,December,E08000002,Bury,all,All,all,All,mean,Mean price
213052.67156,,2020,2020,dec,December,E08000002,Bury,all,All,all,All,mean,Mean price
236914.07534,,2021,2021,dec,December,E08000002,Bury,all,All,all,All,mean,Mean price
136000.0,,2020,2020,dec,December,E08000002,Bury,all,All,all,All,lower-quartile,Lower quartile price
155375.0,,2021,2021,dec,December,E08000002,Bury,all,All,all,All,lower-quartile,Lower quartile price
122000.0,,2018,2018,dec,December,E08000002,Bury,all,All,all,All,lower-quartile,Lower quartile price
130000.0,,2019,2019,dec,December,E08000002,Bury,all,All,all,All,lower-quartile,Lower quartile price
85000.0,,2017,2017,dec,December,E08000002,Bury,all,All,all,All,tenth-percentile,Tenth percentile price
118000.0,,2021,2021,dec,December,E08000002,Bury,all,All,all,All,tenth-percentile,Tenth percentile price
90000.0,,2018,2018,dec,December,E08000002,Bury,all,All,all,All,tenth-percentile,Tenth percentile price
95000.0,,2019,2019,dec,December,E08000002,Bury,all,All,all,All,tenth-percentile,Tenth percentile price
100000.0,,2020,2020,dec,December,E08000002,Bury,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000002,Bury,all,All,all,All,tenth-percentile,Tenth percentile price
